Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
Austin 'Lights Out' Lingo,Austin Lingo,Lights Out,5.1,145.0,Orthodox,9,3,0,False,2.8,0.4,53.4,0.4,0.0,144.4,0.41,0.31,0.62,0.88,0.41,0.41,0.27,0.8,0.0,Featherweight,Male,Striker
Lucio 'No Nickname' Linhares,Lucio Linhares,No Nickname,6.2,185.0,Orthodox,19,8,0,False,2.0,0.0,8.0,1.0,1.0,55.5,0.24,0.2,0.0,0.31,0.09,0.0,0.21,1.0,0.0,Middleweight,Male,No Clear Style
Philipe 'Monstro' Lins,Philipe Lins,Monstro,6.2,205.0,Orthodox,18,5,0,False,2.33,0.17,40.17,1.17,0.0,106.83,0.49,0.31,0.69,0.74,0.47,0.47,0.33,0.0,0.0,Light Heavyweight,Male,Striker
Tainara 'Thai Panther' Lisboa,Tainara Lisboa,Thai Panther,5.7,135.0,Orthodox,7,3,0,False,2.67,0.0,22.0,1.33,0.33,290.33,0.37,0.29,0.53,0.74,0.32,0.44,0.17,0.0,0.0,Women's Bantamweight,Female,Hybrid
Dean 'The Boogeyman' Lister,Dean Lister,The Boogeyman,6.1,185.0,Orthodox,13,7,0,False,2.33,0.0,14.33,1.33,0.83,93.67,0.35,0.29,0.19,0.66,0.34,0.08,0.51,0.83,0.17,Middleweight,Male,Hybrid
James 'Goku' Llontop,James Llontop,Goku,6.0,155.0,Orthodox,14,5,0,False,2.33,0.0,67.33,0.0,0.0,55.0,0.4,0.26,0.52,0.8,0.37,0.65,0.67,0.33,0.0,Catch Weight,Male,Striker
Abner 'Skullman' Lloveras,Abner Lloveras,Skullman,5.11,155.0,Orthodox,20,9,1,False,3.0,0.0,94.0,2.0,0.0,173.0,0.49,0.38,0.82,1.0,0.47,0.67,0.0,0.0,0.0,Lightweight,Male,Striker
John 'The Machine' Lober,John Lober,The Machine,5.11,199.0,Orthodox,5,9,4,False,1.0,0.0,4.0,3.0,1.0,117.60799999999999,0.36,0.3,0.0,1.0,0.12,0.0,1.0,1.0,0.0,Middleweight,Male,Wrestler
Artem 'The Russian Hammer' Lobov,Artem Lobov,The Russian Hammer,5.9,145.0,Southpaw,13,15,1,False,3.29,0.0,57.86,0.43,0.0,138.71,0.45,0.34,0.57,0.85,0.42,0.39,0.54,0.14,0.0,Featherweight,Male,Striker
Ryan 'Man of Steel' Loder,Ryan Loder,Man of Steel,6.2,185.0,Southpaw,8,2,0,False,1.5,0.0,27.5,0.5,0.5,81.0,0.5,0.5,0.25,0.0,0.52,0.22,0.12,1.0,0.5,Middleweight,Male,Hybrid
David 'The Crow' Loiseau,David Loiseau,The Crow,6.0,185.0,Orthodox,23,11,0,False,2.44,0.44,18.44,0.33,0.11,140.89,0.5,0.46,0.53,0.41,0.37,0.65,0.49,0.11,0.22,Middleweight,Male,Striker
Hector 'No Nickname' Lombard,Hector Lombard,No Nickname,5.9,185.0,Southpaw,34,10,1,False,2.42,0.58,36.25,1.25,0.17,73.5,0.46,0.39,0.62,0.56,0.41,0.69,0.35,0.42,0.0,Welterweight,Male,Striker
Loma 'No Nickname' Lookboonmee,Loma Lookboonmee,No Nickname,5.1,115.0,Orthodox,10,3,0,False,2.89,0.0,54.0,1.89,0.11,170.56,0.54,0.43,0.69,0.79,0.48,0.77,0.29,0.67,0.22,Women's Strawweight,Female,Striker
Ange 'The Last Ninja' Loosa,Ange Loosa,The Last Ninja,5.1,170.0,Orthodox,10,5,0,False,2.83,0.17,75.83,2.5,0.0,156.5,0.46,0.35,0.67,0.86,0.44,0.69,0.43,0.0,0.0,Welterweight,Male,Striker
